channel_id,channel_name,video_id,auto_caption_lang,manual_langs
UCfpaSruWW3S4dibonKXENjA,Tzuyang,-fE1mGc-W8w,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,f1_7CrG6PrU,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,KZWOjfpg2iI,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,Blh_iDc72mI,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,LqgWTu6NmzE,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,ZddLoGspggw,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,820jZBF4eX8,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,rbsE4_lEnSQ,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,vGGRW6jv-p0,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,UpXae60ZpAE,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,2MlcYususZI,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,6OX0oBeqjJU,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,RtD8v_zCjuY,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,EqEwDztxHRo,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,xz0Tbmu5N2o,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,fbdPsEVAn-0,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,nK8y9YPHc14,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,B_gGpdUVe8o,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,2-QhBPvdK9w,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,WjoktAzYqG4,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,d8pEUU8djhI,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,NYcK7Cg0Ua0,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,RBGFxTiAb7U,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,SZsHrezUPm4,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,DKrqrO6qZEg,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,DMSwEVd1EyY,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,rEwwiHK97nc,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,TAsK5DHQPqQ,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,R4l1zUbM-dM,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,ElSXrUBEng4,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,IPYGtzB-Yzk,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,_TCOA0tdpqE,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,xueEUH34TXA,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,2-HzvxrREac,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,iyUTkrVrdKs,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,2VO9YRB1qY4,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,sU7es-L8YRI,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,QRD3R9nbg4I,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,RFudEbfL2TU,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,QTmPGMaNOxI,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,qYKCtBTpPNc,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,xbnVNevm8FI,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,nsckfP7oi1c,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,seDyRioy4P0,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,jwsSGeTESvo,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,1qslQO_PC9g,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,Sj2mblusg3o,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,aoBuPnqrOFo,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,CrCTpTdj_w0,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,NksEaXk7e3c,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,wFQQP2WpDys,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,whcu_YitgsE,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,HZaDW00sldo,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,sp29lEa3_u8,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,1nVPaBoiq7I,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,su68Sm9TNys,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,Xy7Cp6rA3BM,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,mWNYaJ6ZJiQ,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,s2JFIvXsvgc,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,yiWPCX7Qwug,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,AxxW-TwgNZk,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,J-8YlExkAnI,,
UCfpaSruWW3S4dibonKXENjA,Tzuyang,ujPAYx-zMe8,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,85qXx0CIRA8,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,aOzWJYJjvM0,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,dg7xkSPKqSI,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,QSRbkcdNuwg,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,XGFHmdbSKhk,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,yfz2vceroSU,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,ukXxpw4Z2iM,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,p-1HwcPrhwY,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,7qfcs3Xs_DY,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,tsBjXr1SZmk,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,Is2VwU9jXcA,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,YqD-JkBo5IU,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,h_EzAicsdd0,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,48WTUOhaAwc,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,nD3MKxxa3ec,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,C76lB22Al9Y,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,WOlVl32HaoY,,
UCMki_UkHb4qSc0qyEcOHHJw,NewJeans,sdwInKIu-Kg,,
